,Plant Code,Stack Height (m),Annual Plant Generation (MWh),Annual Plant SO2 Emissions (M.Tonnes),Annual Plant NOx Emissions (M.Tonnes),Marginal SO2 Emissions (M.Tonnes per MWh),Marginal NOx Emissions (M.Tonnes per MWh),Marginal Emissions Damages SO2; Annual ($ per M.Tonne),Marginal Emissions Damages NOx; Annual ($ per M.Tonne),Marginal Emissions Damages SO2; Spring ($ per M.Tonne),Marginal Emissions Damages NOx; Spring ($ per M.Tonne),Marginal Emissions Damages SO2; Summer ($ per M.Tonne),Marginal Emissions Damages NOx; Summer ($ per M.Tonne),Marginal Emissions Damages SO2; Fall ($ per M.Tonne),Marginal Emissions Damages NOx; Fall ($ per M.Tonne),Marginal Emissions Damages SO2; Winter ($ per M.Tonne),Marginal Emissions Damages NOx; Winter ($ per M.Tonne),Marginal Health Cost; Annual ($ per MWh),Marginal Health Cost; Spring ($ per MWh),Marginal Health Cost; Summer ($ per MWh),Marginal Health Cost; Fall ($ per MWh),Marginal Health Cost; Winter ($ per MWh)
624,3111,,1727.0,1.56911,10.757927,0.0009085755645628257,0.006229257093225246,42013.37373251999,20337.381823440002,47772.448482,20067.89685336,58567.958434439985,9782.233579692,30039.16711332,20571.13206204,31628.66212572,30677.706040319998,164.85910473950716,168.41296816998704,114.149463813746,155.43572353211775,219.83634750278523
625,3112,,,,,,,42270.17287308002,21314.019260280005,48675.58596396002,21872.11067748,57349.784024639994,10477.285331448,30148.50435804,21563.92433196,32860.26072504,31059.996579240007,,,,,
626,3113,121.0,1244.0,0.144213,1.9083280000000002,0.00011592684887459808,0.001534025723472669,47137.993962479995,36069.786951719994,60150.2378766,41916.934790399995,71865.71025588,18905.00379672,35289.34470216,54446.729956560004,21233.20321404,28536.34836276,60.79654012645743,71.27468375369178,37.33192745861601,87.6136668425039,46.23699078256867
627,3114,,,,,,,45632.64081708,27006.339553080004,54908.865397919995,28806.434904240006,70751.35994424,15456.442217279999,33072.71788188,36852.08065776,23784.111718440006,26739.75851232,,,,,
628,3115,106.0,,,,,,44619.89669208,28136.31186156,54398.989820880015,30981.363719039997,64740.860752439985,15810.347864520001,32849.329959719995,34395.20873484,26478.92019216,30983.68745016,,,,,
629,3118,160.0,11005565.0,3899.00253,6954.1640050000005,0.0003542755442360297,0.0006318770553806188,40139.79495768,12876.563063759999,40055.3361204,10406.61899826,60160.57551132,5841.399987228,26745.35026644,12500.6639688,33489.28793832,22628.7270948,22.35695245630623,20.766329772700345,25.004467254055665,17.374106260334216,26.16300915409927
630,3120,,783.0,0.07256,7.072786000000001,9.266922094508302e-05,0.009032932311621968,42105.69150168,14089.73549364,44934.58693716,11760.82989618,61220.775052439996,6436.469665703999,28623.46531356,11403.0216444,33531.435080159994,26676.330165720003,131.17352863152234,110.39883354564967,63.8134763458761,105.65523689318164,244.0728166754771
631,3122,248.0,6827882.0,6998.961642,3967.29056,0.001025056033774456,0.000581042636647792,34829.3965842,11750.193118176,38569.713450840005,8280.631835664,48477.69926268,5492.366757696,24167.269236599997,13230.320718,27884.12534196,19894.200618959996,42.52944631186336,44.3475176486392,52.883657395042,32.460185584511244,40.142169709939964
632,3130,184.0,1866633.0,5242.7475190000005,978.9804270000001,0.0028086653986080824,0.0005244632592480686,40139.79495768,12876.563063759999,40055.3361204,10406.61899826,60160.57551132,5841.399987228,26745.35026644,12500.6639688,33489.28793832,22628.7270948,119.49253743719186,117.9599259085643,172.03452647486645,81.67487883484523,105.92814022115627
633,3131,220.0,271326.001,0.9251400000000001,104.60521700000001,3.4096990210680183e-06,0.0003855333311752898,41547.83631252,13296.48246564,43210.92369984,10751.895451968001,62372.91202836,5954.909889792,27147.7188738,11246.527939128,33334.39021632,25121.808887279996,5.267902794694313,4.292550314284461,2.5084891037444486,4.42847693099621,9.798954903150543
634,3132,,1930.0,0.010884000000000001,8.31719,5.63937823834197e-06,0.0043094248704663215,41138.213526839994,11893.155726011999,44299.215486119996,9871.795367675999,58206.09707256001,4795.948314876,27526.130567279997,8899.74711888,34319.6754726,23935.25023332,51.48465502013257,42.79158050540522,20.996025142767493,38.508021836669336,103.34070426731117
635,3136,207.0,11005292.0,17964.345845,6476.275682,0.0016323370470315553,0.0005884692275316275,39939.88596888,12884.8757964,40413.74119631999,10031.318450184,59685.13056408001,5932.5900179519995,26680.15159248,12417.2260572,32814.83949036,23005.400027640004,72.7777084279671,71.87196918340203,100.91739644178925,50.85815529078913,67.1028481758301
636,3138,228.0,348070.0,1.1020050000000001,122.088549,3.1660441865142073e-06,0.0003507586089005085,37886.07011124,13663.617683879998,45865.259644679994,12615.21928908,49347.11663916001,5253.421816943999,25505.963500199996,13360.031916479997,30594.62358732,23301.85391688,4.912580503371697,4.570108207473567,1.9989180802355102,4.7668992173521705,8.27018979483492
637,3139,,2293.0,8.034206000000001,14.428556,0.0035037967727867426,0.006292436109899695,46548.57742116001,32138.14579848,58078.952108159996,37114.81174728,69780.84928536,17688.52948176,34738.12338528,43282.24755923999,23587.075936680005,30112.417032839996,365.32398447365097,437.0394266141208,355.8018561704144,394.0661020693914,272.1247808402162
638,3140,182.0,2587597.0,2564.800995,2843.360649,0.0009911902800165558,0.0010988421492991376,41555.175682919995,22497.58725672,48642.12160163999,23856.22626084,58744.96394808,11862.749693352,29428.47006276,23091.846501719996,29382.80886468,30779.315257799997,65.91038335650974,74.42782506955686,71.26272663490049,54.543507723201685,62.94556347809179
639,3142,,41.0,0.167795,0.29931,0.0040925609756097565,0.007300243902439025,42495.22575684,23130.171952319997,48210.563894160005,23360.692731240008,62563.965337199996,12007.070542439998,31797.116576279997,28261.246056,27389.686058279996,28666.135313879997,342.7701993394602,367.84342707336646,343.70138653202906,336.4456276326406,321.36373982796374
